"","eval","minority","age","gender","credits","beauty","native","tenure","students","allstudents","participation"
"341",4.2,"no",43,"female","more",-0.5583452,"yes","yes",10,13,0.769230769230769
"342",3,"no",43,"female","more",-0.5583452,"yes","yes",166,282,0.588652482269504
"343",4.2,"no",43,"female","more",-0.5583452,"yes","yes",17,17,1
"344",3.4,"no",35,"male","more",-0.3415543,"no","yes",22,42,0.523809523809524
"345",3.1,"no",62,"female","more",-0.5040575,"yes","yes",9,16,0.5625
"346",2.7,"no",62,"female","more",-0.5040575,"yes","yes",14,19,0.736842105263158
"347",3.9,"no",52,"female","more",0.773524,"yes","yes",70,98,0.714285714285714
"348",3.9,"no",52,"female","more",1.063938,"yes","yes",49,65,0.753846153846154
"349",3.6,"no",52,"female","more",1.063938,"yes","yes",32,63,0.507936507936508
"350",3.7,"no",52,"female","more",-1.090389,"yes","no",35,43,0.813953488372093
"351",3.6,"no",52,"female","more",-1.090389,"yes","no",59,80,0.7375
"352",4.4,"no",52,"female","more",-1.090389,"yes","no",45,52,0.865384615384615
"353",4.3,"no",52,"female","more",-1.090389,"yes","no",34,48,0.708333333333333
"354",4.1,"no",52,"female","more",-1.090389,"yes","no",50,66,0.757575757575758
"355",3.7,"no",52,"female","more",-1.090389,"yes","no",67,100,0.67
"356",3.6,"no",64,"male","more",-1.069162,"yes","yes",8,16,0.5
"357",2.8,"no",64,"male","more",-1.069162,"yes","yes",18,22,0.818181818181818
"358",4,"no",64,"male","more",-1.069162,"yes","yes",5,11,0.454545454545455
"359",4.4,"no",64,"male","more",-1.069162,"yes","yes",5,10,0.5
"360",3.6,"no",64,"male","more",-1.069162,"yes","yes",16,16,1
"361",3.7,"no",50,"male","more",1.415695,"yes","yes",9,10,0.9
"362",2.9,"no",60,"male","more",-1.422919,"yes","yes",7,10,0.7
"363",2.6,"no",60,"male","more",-1.422919,"yes","yes",10,16,0.625
"364",4.8,"no",43,"male","single",-0.4899626,"yes","yes",15,28,0.535714285714286
"365",4.9,"no",43,"male","single",-0.4899626,"yes","yes",18,30,0.6
"366",4.3,"no",43,"male","more",-0.4899626,"yes","yes",11,15,0.733333333333333
"367",4.4,"no",43,"male","more",-0.4899626,"yes","yes",10,13,0.769230769230769
"368",4.3,"no",43,"male","single",-0.4899626,"yes","yes",17,18,0.944444444444444
"369",4.7,"no",43,"male","single",-0.4899626,"yes","yes",22,26,0.846153846153846
"370",4.3,"no",43,"male","single",-0.4899626,"yes","yes",18,30,0.6
"371",4.6,"no",43,"male","more",-0.4899626,"yes","yes",14,14,1
"372",4.9,"yes",50,"male","single",-0.5835869,"yes","no",20,22,0.909090909090909
"373",4.8,"yes",50,"male","single",-0.5835869,"yes","no",21,25,0.84
"374",4.7,"yes",50,"male","single",-0.5835869,"yes","no",23,26,0.884615384615385
"375",4.8,"yes",50,"male","single",-0.5835869,"yes","no",19,22,0.863636363636364
"376",4.9,"yes",50,"male","single",-0.5835869,"yes","no",20,26,0.769230769230769
"377",4.8,"yes",50,"male","single",-0.5835869,"yes","no",17,20,0.85
"378",4.8,"yes",50,"male","single",-0.5835869,"yes","no",18,22,0.818181818181818
"379",5,"yes",50,"male","single",-0.5835869,"yes","no",20,21,0.952380952380952
"380",4.5,"yes",50,"male","single",-0.5835869,"yes","no",19,21,0.904761904761905
"381",3.8,"no",52,"male","more",0.7566829,"yes","yes",46,65,0.707692307692308
"382",3.8,"no",52,"male","more",0.7566829,"yes","yes",39,62,0.629032258064516
"383",3.8,"no",52,"male","more",0.7566829,"yes","yes",34,67,0.507462686567164
"384",4,"no",52,"male","more",0.7566829,"yes","yes",29,40,0.725
"385",4.2,"no",52,"male","more",0.7566829,"yes","yes",27,45,0.6
"386",4.5,"no",51,"male","more",0.8808186,"yes","yes",372,579,0.642487046632124
"387",4.5,"no",51,"male","more",0.8808186,"yes","yes",343,537,0.638733705772812
"388",4.6,"no",51,"male","more",0.8808186,"yes","yes",380,581,0.654044750430293
"389",4.7,"no",51,"male","more",0.8808186,"yes","yes",322,527,0.61100569259962
"390",4.1,"no",38,"male","more",-0.5665014,"yes","yes",66,84,0.785714285714286
"391",3.6,"no",38,"male","more",-0.5665014,"yes","yes",40,79,0.506329113924051
"392",4,"no",38,"male","more",-0.5665014,"yes","yes",60,92,0.652173913043478
"393",3.4,"no",47,"female","more",0.3394037,"yes","yes",38,67,0.567164179104478
"394",2.8,"yes",43,"female","more",-0.1513687,"yes","yes",93,190,0.489473684210526
"395",4.1,"no",38,"female","more",-1.024997,"yes","no",36,60,0.6
"396",3.5,"no",38,"female","more",-1.024997,"yes","no",29,64,0.453125
"397",3.4,"no",38,"female","more",-1.024997,"yes","no",23,31,0.741935483870968
"398",4.1,"no",38,"female","more",-1.024997,"yes","no",36,62,0.580645161290323
"399",4.2,"no",38,"female","more",-1.024997,"yes","no",30,37,0.810810810810811
"400",4.3,"no",43,"male","more",-0.0252444,"yes","yes",8,13,0.615384615384615
"401",4.1,"no",43,"male","more",-0.0252444,"yes","yes",12,15,0.8
"402",3.4,"no",43,"male","more",-0.0252444,"yes","yes",65,79,0.822784810126582
"403",3.5,"no",57,"male","more",-0.7467875,"yes","yes",53,98,0.540816326530612
"404",3.6,"no",57,"male","more",-0.7467875,"yes","yes",58,97,0.597938144329897
"405",3.7,"no",51,"female","more",0.9889485,"yes","yes",67,78,0.858974358974359
"406",3,"no",51,"female","more",0.9889485,"yes","yes",36,56,0.642857142857143
"407",4.6,"no",51,"female","more",0.9889485,"yes","yes",17,20,0.85
"408",4,"no",45,"male","single",-0.5324199,"yes","no",17,20,0.85
"409",4.8,"no",45,"male","more",-0.5324199,"yes","no",13,19,0.684210526315789
"410",4.6,"no",45,"male","single",-0.5324199,"yes","no",19,26,0.730769230769231
"411",3.4,"no",57,"male","more",-0.7668921,"yes","yes",12,18,0.666666666666667
"412",4.4,"no",57,"male","more",-0.7668921,"yes","yes",12,12,1
"413",3.6,"no",57,"male","more",-0.7668921,"yes","yes",16,19,0.842105263157895
"414",3.8,"no",57,"male","more",-0.7668921,"yes","yes",12,16,0.75
"415",3.7,"no",57,"male","more",-0.7668921,"yes","yes",14,16,0.875
"416",4.7,"no",57,"male","more",-0.7668921,"yes","yes",11,12,0.916666666666667
"417",4.5,"no",57,"male","more",-0.7668921,"yes","yes",15,17,0.882352941176471
"418",5,"no",57,"male","more",-0.7668921,"yes","yes",6,15,0.4
"419",3.8,"no",57,"male","more",-0.7668921,"yes","yes",15,16,0.9375
"420",4.1,"no",57,"male","more",-0.7668921,"yes","yes",12,17,0.705882352941177
"421",4.3,"no",47,"female","single",1.154256,"yes","no",15,17,0.882352941176471
"422",4.4,"no",47,"female","single",1.154256,"yes","no",10,10,1
"423",4.7,"no",47,"female","single",1.154256,"yes","no",16,17,0.941176470588235
"424",3.9,"no",47,"female","more",1.154256,"yes","no",15,17,0.882352941176471
"425",4.8,"yes",54,"female","more",1.232602,"yes","yes",15,16,0.9375
"426",4.3,"yes",54,"female","more",1.232602,"yes","yes",21,26,0.807692307692308
"427",4.6,"yes",54,"female","more",1.232602,"yes","yes",14,18,0.777777777777778
"428",3.8,"yes",54,"female","more",1.232602,"yes","yes",16,20,0.8
"429",5,"no",58,"male","more",1.774334,"yes","no",21,21,1
"430",4.9,"no",58,"male","more",1.774334,"yes","no",18,21,0.857142857142857
"431",4.6,"no",58,"male","more",1.774334,"yes","no",17,20,0.85
"432",4.6,"no",58,"male","more",1.774334,"yes","no",19,20,0.95
"433",5,"no",58,"male","more",1.774334,"yes","no",11,13,0.846153846153846
"434",4.6,"no",58,"male","more",1.774334,"yes","no",14,16,0.875
"435",4.9,"no",58,"male","more",1.774334,"yes","no",16,17,0.941176470588235
"436",4,"no",42,"male","more",1.773151,"yes","yes",22,24,0.916666666666667
"437",3.9,"no",42,"male","more",1.773151,"yes","yes",17,20,0.85
"438",4.1,"no",33,"male","more",0.7245926,"yes","yes",67,155,0.432258064516129
"439",2.9,"no",62,"male","more",-1.181626,"yes","yes",28,70,0.4
"440",2.8,"no",62,"male","more",-1.181626,"yes","yes",61,149,0.409395973154362
"441",2.8,"no",62,"male","more",-1.181626,"yes","yes",49,137,0.357664233576642
"442",4,"no",62,"male","more",-1.181626,"yes","yes",13,29,0.448275862068966
"443",3.3,"no",62,"male","more",-1.181626,"yes","yes",28,55,0.509090909090909
"444",3,"no",62,"male","more",-1.181626,"yes","yes",67,136,0.492647058823529
"445",3.6,"yes",35,"female","more",1.769452,"yes","yes",20,60,0.333333333333333
"446",3.8,"yes",35,"female","more",1.769452,"yes","yes",43,108,0.398148148148148
"447",3.9,"no",61,"male","more",-0.5872612,"yes","yes",13,15,0.866666666666667
"448",4.7,"no",52,"female","more",-0.0018324,"yes","yes",14,17,0.823529411764706
"449",4.7,"no",52,"female","more",-0.0018324,"yes","yes",19,19,1
"450",3.9,"no",60,"female","more",-0.0566766,"no","yes",18,19,0.947368421052632
"451",4.4,"no",60,"female","more",-0.0566766,"no","yes",11,13,0.846153846153846
"452",3.6,"no",60,"female","more",-0.0566766,"no","yes",18,19,0.947368421052632
"453",4.2,"no",60,"female","more",-0.0566766,"no","yes",11,22,0.5
"454",3.4,"no",60,"female","more",-0.0566766,"no","yes",7,20,0.35
"455",4,"no",60,"female","more",-0.0566766,"no","yes",24,27,0.888888888888889
"456",4.2,"no",32,"male","more",1.231394,"yes","yes",111,127,0.874015748031496
"457",4.4,"no",32,"male","more",1.231394,"yes","yes",62,85,0.729411764705882
"458",4.5,"no",32,"male","more",1.231394,"yes","yes",76,101,0.752475247524752
"459",3.2,"no",32,"male","more",1.231394,"yes","yes",9,21,0.428571428571429
"460",4.3,"no",32,"male","more",1.231394,"yes","yes",52,86,0.604651162790698
"461",3.3,"yes",42,"female","more",0.4203998,"no","yes",52,67,0.776119402985075
"462",3.2,"yes",42,"female","more",0.4203998,"no","yes",54,66,0.818181818181818
"463",4.1,"yes",42,"female","single",0.4203998,"no","yes",28,35,0.8
